PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001266,"Harborough, Oadby and Wigston",East Midlands, 29.96 , 36.77 , 11.77 , 8.51 , 9.71 , -   , -   , 3.28 , 22.86 , 28.15 , 4.62 , 2.42 , 4.11 , -   , -   , 0.76 , 37.12 , 46.12 , 21.75 , 17.25 , 17.60 , -   , -   , 9.01 
E14001267,Harlow,East of England, 32.34 , 39.79 , 4.53 , 3.44 , 17.74 , -   , -   , 2.16 , 25.21 , 30.38 , 1.48 , 0.48 , 9.24 , -   , -   , 0.42 , 39.71 , 49.26 , 9.90 , 10.59 , 28.30 , -   , -   , 5.83 
E14001268,Harpenden and Berkhamsted,East of England, 30.06 , 24.11 , 30.95 , 3.30 , 10.36 , -   , -   , 1.22 , 22.49 , 16.03 , 17.68 , 0.57 , 4.31 , -   , -   , 0.17 , 38.33 , 33.43 , 46.15 , 9.44 , 18.99 , -   , -   , 4.47 
E14001269,Harrogate and Knaresborough,Yorkshire and The Humber, 27.76 , 20.61 , 41.54 , 0.51 , 8.38 , -   , -   , 1.20 , 19.55 , 12.74 , 25.24 , 0.05 , 3.03 , -   , -   , 0.15 , 36.80 , 30.32 , 58.23 , 1.96 , 17.15 , -   , -   , 4.09 
E14001270,Harrow East,London, 36.21 , 41.26 , 3.92 , 0.75 , 9.65 , -   , -   , 8.22 , 28.68 , 31.99 , 1.16 , 0.09 , 4.39 , -   , -   , 2.17 , 43.07 , 50.88 , 8.94 , 2.58 , 17.28 , -   , -   , 17.80 
E14001271,Harrow West,London, 20.48 , 49.21 , 9.03 , 4.87 , 8.20 , -   , -   , 8.21 , 15.92 , 38.88 , 3.50 , 1.40 , 3.80 , -   , -   , 2.62 , 25.48 , 59.42 , 17.92 , 11.13 , 14.08 , -   , -   , 17.45 
E14001272,Hartlepool,North East, 12.22 , 56.35 , 5.14 , 1.16 , 20.57 , -   , -   , 4.56 , 8.24 , 44.60 , 1.19 , 0.13 , 9.70 , -   , -   , 0.96 , 17.32 , 67.94 , 13.05 , 4.16 , 33.67 , -   , -   , 12.33 
E14001273,Harwich and North Essex,East of England, 32.22 , 42.21 , 8.33 , 3.29 , 13.94 , -   , -   , -   , 25.71 , 34.59 , 3.57 , 0.97 , 7.45 , -   , -   , -   , 39.30 , 50.76 , 15.99 , 7.49 , 22.05 , -   , -   , -   
E14001274,Hastings and Rye,South East, 24.71 , 54.99 , 3.73 , 0.32 , 12.54 , -   , -   , 3.72 , 19.28 , 46.39 , 1.04 , 0.03 , 6.61 , -   , -   , 0.77 , 31.10 , 63.39 , 8.39 , 1.19 , 20.65 , -   , -   , 9.70 
E14001275,Havant,South East, 33.34 , 31.86 , 8.58 , 9.42 , 15.21 , -   , -   , 1.58 , 25.90 , 23.28 , 2.62 , 2.82 , 7.63 , -   , -   , 0.29 , 41.33 , 41.69 , 18.16 , 20.69 , 26.60 , -   , -   , 4.54 
E14001276,Hayes and Harlington,London, 19.82 , 55.77 , 3.42 , 5.97 , 7.68 , -   , -   , 7.35 , 14.90 , 45.07 , 0.70 , 1.46 , 3.46 , -   , -   , 2.08 , 24.86 , 64.96 , 8.30 , 13.34 , 14.24 , -   , -   , 16.21 
E14001277,Hazel Grove,North West, 18.71 , 27.81 , 39.74 , 3.59 , 8.75 , -   , -   , 1.39 , 13.27 , 18.27 , 25.49 , 0.69 , 3.98 , -   , -   , 0.29 , 24.34 , 37.72 , 53.82 , 9.69 , 15.79 , -   , -   , 3.88 
E14001278,Hemel Hempstead,East of England, 33.71 , 37.94 , 11.23 , 3.31 , 13.81 , -   , -   , -   , 26.96 , 28.75 , 4.88 , 0.58 , 7.22 , -   , -   , -   , 39.83 , 46.89 , 20.44 , 9.58 , 22.59 , -   , -   , -   
E14001279,Hendon,London, 37.40 , 43.50 , 5.22 , 2.62 , 7.13 , -   , -   , 4.13 , 31.08 , 34.48 , 1.71 , 0.39 , 3.03 , -   , -   , 1.03 , 44.22 , 52.73 , 11.16 , 7.85 , 12.98 , -   , -   , 9.97 
E14001280,Henley and Thame,South East, 29.62 , 20.04 , 38.50 , 4.32 , 6.81 , -   , -   , 0.71 , 24.22 , 14.79 , 30.70 , 2.16 , 3.55 , -   , -   , 0.15 , 34.89 , 25.63 , 46.86 , 7.35 , 11.24 , -   , -   , 1.69 
E14001281,Hereford and South Herefordshire,West Midlands, 29.47 , 30.53 , 9.82 , 16.77 , 12.31 , -   , -   , 1.11 , 20.85 , 19.27 , 2.35 , 4.29 , 4.80 , -   , -   , 0.19 , 37.64 , 42.23 , 23.66 , 38.85 , 23.24 , -   , -   , 3.51 
E14001282,Herne Bay and Sandwich,South East, 28.75 , 39.93 , 11.04 , 3.16 , 17.12 , -   , -   , -   , 22.02 , 30.28 , 4.13 , 0.46 , 8.47 , -   , -   , -   , 35.94 , 49.63 , 22.36 , 8.80 , 28.41 , -   , -   , -   
E14001283,Hertford and Stortford,East of England, 29.91 , 38.39 , 7.66 , 8.04 , 13.96 , -   , -   , 2.05 , 22.58 , 28.02 , 2.25 , 1.80 , 6.27 , -   , -   , 0.45 , 37.96 , 48.05 , 16.67 , 19.24 , 24.59 , -   , -   , 5.69 
