2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Paul Blomfield,LAB,LAB,Sheffield Central,E14001467,Yorkshire and the Humber,,6.2%,64.4%,5.5%,,20.9%,,,2.9%,LAB,,43.5%,"16,554",,"2,370","24,515","2,094",0,"7,961",0,"1,104",,LAB HOLD,,12.4%,67.0%,5.4%,3.1%,10.9%,0.0%,0.0%,1.3%,LAB,-6.4%,-2.5%,+0.3%,-3.1%,+10.0%,,,+1.6%
Olivia Blake,LAB,LAB,Sheffield Hallam,E14001468,Yorkshire and the Humber,,11.7%,42.8%,36.4%,,6.8%,,,2.3%,LAB,,6.4%,"3,862",,"7,047","25,724","21,861",0,"4,082",0,"1,369",,LAB HOLD,x,25.7%,35.0%,33.1%,2.7%,3.0%,0.0%,0.0%,0.5%,LAB,-14.6%,+8.9%,+3.0%,-2.7%,+3.8%,,,+1.7%
Louise Haigh,LAB,LAB,Sheffield Heeley,E14001469,Yorkshire and the Humber,,15.4%,60.4%,8.3%,,11.8%,,,4.1%,LAB,,45.0%,"20,550",,"7,018","27,568","3,808",0,"5,406",0,"1,865",,LAB HOLD,,27.1%,53.9%,6.7%,8.0%,4.3%,0.0%,0.0%,0.0%,LAB,-12.2%,+6.4%,+1.9%,-8.0%,+7.7%,,,+4.0%
Clive Betts,LAB,LAB,Sheffield South East,E14001470,Yorkshire and the Humber,,22.1%,58.6%,7.3%,,7.2%,,,4.7%,LAB,,36.5%,"17,090",,"10,380","27,470","3,416",0,"3,398",0,"2,212",,LAB HOLD,,35.6%,46.8%,4.7%,10.7%,0.2%,0.0%,0.0%,2.1%,LAB,-13.9%,+11.9%,+2.9%,-10.7%,+7.2%,,,+2.6%
Mark Spencer,CON,LAB,Sherwood Forest,E14001471,East Midlands,,26.5%,38.3%,4.7%,25.0%,4.9%,,,0.5%,LAB,,11.8%,"6,172",,"13,815","19,987","2,459","13,052","2,566",0,247,,LAB GAIN,,60.8%,29.6%,5.7%,0.0%,2.6%,0.0%,0.0%,1.3%,CON,-34.6%,+9.1%,-0.7%,+24.6%,+2.5%,,,-0.9%
Philip Davies,CON,LAB,Shipley,E14001472,Yorkshire and the Humber,,22.3%,50.4%,4.8%,16.5%,5.2%,,,0.7%,LAB,,28.1%,"15,209",,"12,034","27,243","2,615","8,891","2,833",0,399,,LAB GAIN,,50.8%,39.3%,5.9%,0.0%,2.4%,0.0%,0.0%,1.6%,CON,-28.8%,+11.4%,-0.8%,+16.2%,+3.0%,,,-0.9%
Daniel Kawczynski,CON,LAB,Shrewsbury,E14001473,West Midlands,,21.0%,47.7%,8.3%,16.9%,5.7%,,,0.4%,LAB,,26.7%,"13,760",,"10,828","24,589","4,286","8,701","2,954",0,187,,LAB GAIN,,49.4%,35.5%,10.8%,0.0%,3.3%,0.0%,0.0%,1.1%,CON,-28.6%,+12.4%,-2.1%,+16.4%,+2.6%,,,-0.7%
Gordon Henderson,CON,CON,Sittingbourne and Sheppey,E14001474,South East,,32.8%,31.8%,5.0%,25.1%,4.4%,,,0.9%,CON,,1.0%,444,,"15,337","14,893","2,341","11,734","2,040",0,438,,CON HOLD,,66.5%,20.9%,6.3%,0.0%,2.2%,0.0%,0.0%,4.0%,CON,-33.9%,+11.3%,-1.1%,+24.5%,+2.2%,,,-3.1%
Julian Smith,CON,LAB,Skipton and Ripon,E14001475,Yorkshire and the Humber,,27.0%,29.1%,12.2%,23.6%,7.3%,,,0.7%,LAB,,2.1%,"1,176",,"15,357","16,533","6,910","13,432","4,158",0,412,,LAB GAIN,,58.9%,19.2%,15.2%,0.0%,4.7%,0.0%,0.0%,2.0%,CON,-33.0%,+9.4%,-2.7%,+24.9%,+2.6%,,,-1.3%
Caroline Johnson,CON,CON,Sleaford and North Hykeham,E14001476,East Midlands,,33.7%,29.0%,7.0%,24.7%,4.6%,,,0.9%,CON,,4.7%,"2,402",,"17,359","14,957","3,631","12,724","2,366",0,474,,CON HOLD,,66.5%,18.6%,8.2%,0.0%,2.4%,0.0%,0.0%,4.3%,CON,-33.0%,+10.7%,-0.8%,+24.2%,+2.3%,,,-3.4%
Tan Dhesi,LAB,LAB,Slough,E14001477,South East,,9.0%,63.6%,6.6%,12.4%,6.8%,,,1.5%,LAB,,51.2%,"23,305",,"4,116","28,961","3,010","5,656","3,112",0,694,,LAB HOLD,,29.5%,58.8%,6.8%,2.8%,2.1%,0.0%,0.0%,0.0%,LAB,-20.7%,+4.8%,+0.1%,+9.3%,+5.0%,,,+1.5%
John Spellar,LAB,LAB,Smethwick,E14001478,West Midlands,,8.9%,61.1%,5.2%,16.4%,6.4%,,,2.1%,LAB,,44.7%,"18,314",,"3,631","25,013","2,120","6,699","2,600",0,875,,LAB HOLD,,30.2%,57.0%,4.5%,6.0%,2.3%,0.0%,0.0%,0.0%,LAB,-21.5%,+4.2%,+0.9%,+10.0%,+4.2%,,,+2.1%
Julian Knight,CON,CON,Solihull West and Shirley,E14001479,West Midlands,,31.5%,29.5%,13.5%,17.1%,7.2%,,,1.3%,CON,,2.0%,"1,021",,"15,799","14,778","6,762","8,577","3,592",0,644,,CON HOLD,,60.9%,19.5%,15.7%,0.0%,4.0%,0.0%,0.0%,0.0%,CON,-29.8%,+10.2%,-1.6%,+16.7%,+3.2%,,,+1.3%
Stephen Metcalfe,CON,LAB,South Basildon and East Thurrock,E14001480,East of England,,32.5%,33.2%,4.1%,25.2%,4.1%,,,0.9%,LAB,,0.7%,285,,"14,553","14,838","1,842","11,266","1,815",0,413,,LAB GAIN,,65.4%,23.6%,4.1%,0.0%,0.2%,0.0%,0.0%,6.7%,CON,-33.2%,+10.0%,+0.3%,+24.7%,+4.0%,,,-5.8%
Anthony Browne,CON,LDM,South Cambridgeshire,E14001481,East of England,,15.9%,17.7%,49.2%,13.4%,3.3%,,,0.4%,LDM,,31.5%,"18,936",,"9,560","10,634","29,570","8,066","1,985",0,270,,LDM GAIN,x,43.5%,15.1%,41.0%,0.1%,0.2%,0.0%,0.0%,0.0%,CON,-28.1%,+2.5%,+8.9%,+12.9%,+3.2%,,,+0.5%
Geoffrey Clifton-Brown,CON,LDM,South Cotswolds,E14001482,South West,,28.1%,13.0%,36.5%,17.3%,4.7%,,,0.3%,LDM,,8.4%,"4,482",,"14,941","6,929","19,423","9,203","2,518",0,177,,LDM GAIN,,57.9%,10.7%,27.7%,0.0%,3.8%,0.0%,0.0%,0.0%,CON,-30.3%,+2.3%,+9.7%,+16.9%,+1.1%,,,+0.3%
Heather Wheeler,CON,LAB,South Derbyshire,E14001483,East Midlands,,28.6%,37.1%,5.4%,22.3%,6.3%,,,0.3%,LAB,,8.5%,"4,033",,"13,488","17,520","2,560","10,550","2,964",0,124,,LAB GAIN,,62.1%,27.2%,7.3%,0.0%,3.4%,0.0%,0.0%,0.0%,CON,-33.8%,+10.2%,-1.6%,+21.9%,+3.1%,,,+0.2%
Anthony Mangnall,CON,LDM,South Devon,E14001484,South West,,25.5%,18.7%,34.2%,17.6%,3.3%,,,0.6%,LDM,,8.7%,"4,713",,"13,846","10,130","18,559","9,566","1,780",0,317,,LDM GAIN,,53.6%,17.0%,28.3%,0.0%,0.2%,0.0%,0.0%,1.0%,CON,-28.0%,+1.2%,+6.4%,+17.5%,+3.4%,,,-0.4%
Richard Drax,CON,LAB,South Dorset,E14001485,South West,,27.4%,34.3%,8.6%,21.6%,7.5%,,,0.6%,LAB,,6.9%,"3,685",,"14,423","18,108","4,519","11,402","3,951",0,324,,LAB GAIN,,59.2%,24.8%,10.7%,0.0%,4.4%,0.0%,0.0%,0.9%,CON,-32.1%,+9.9%,-1.8%,+21.0%,+3.2%,,,-0.3%
Sheryll Murray,CON,LAB,South East Cornwall,E14001486,South West,,29.0%,30.3%,14.1%,21.0%,5.1%,,,0.6%,LAB,,1.3%,663,,"15,145","15,808","7,349","10,969","2,652",0,301,,LAB GAIN,,59.0%,20.3%,16.3%,0.0%,2.7%,0.0%,0.0%,1.7%,CON,-30.3%,+10.1%,-1.6%,+20.4%,+2.5%,,,-1.1%
John Hayes,CON,CON,South Holland and The Deepings,E14001487,East Midlands,,37.6%,22.2%,6.2%,27.7%,5.3%,,,1.0%,CON,,9.9%,"4,880",,"18,494","10,925","3,037","13,614","2,631",0,484,,CON HOLD,,75.9%,13.2%,6.6%,0.0%,3.3%,0.0%,0.0%,1.0%,CON,-38.2%,+9.0%,-0.1%,+26.8%,+2.3%,,,+0.2%
Alberto Costa,CON,CON,South Leicestershire,E14001488,East Midlands,,34.6%,29.5%,9.4%,20.0%,6.4%,,,0.1%,CON,,5.1%,"2,758",,"18,924","16,166","5,144","10,963","3,496",0,66,,CON HOLD,,66.5%,19.9%,9.6%,0.0%,4.0%,0.0%,0.0%,0.0%,CON,-32.1%,+9.7%,+0.6%,+19.2%,+2.5%,,,+0.1%
Richard Bacon,CON,LAB,South Norfolk,E14001489,East of England,,27.4%,35.6%,13.7%,16.7%,6.1%,,,0.5%,LAB,,8.2%,"4,234",,"14,242","18,476","7,124","8,654","3,147",0,245,,LAB GAIN,,56.5%,23.4%,17.0%,0.0%,3.2%,0.0%,0.0%,0.0%,CON,-29.4%,+12.2%,-2.6%,+16.2%,+3.1%,,,+0.5%
Andrea Leadsom,CON,LAB,South Northamptonshire,E14001490,East Midlands,,30.5%,31.4%,9.4%,21.4%,6.5%,,,0.9%,LAB,,0.9%,494,,"17,014","17,508","5,234","11,940","3,637",0,476,,LAB GAIN,,63.2%,20.8%,11.1%,0.0%,3.8%,0.0%,0.0%,1.1%,CON,-32.9%,+10.7%,-1.3%,+21.0%,+2.9%,,,-0.3%
Katherine Fletcher,CON,LAB,South Ribble,E14001491,North West,,22.2%,47.4%,5.3%,20.2%,4.8%,,,0.1%,LAB,,25.2%,"12,415",,"10,900","23,315","2,630","9,948","2,341",0,61,,LAB GAIN,,53.5%,36.2%,7.7%,0.0%,2.5%,0.0%,0.0%,0.0%,CON,-31.6%,+11.3%,-2.1%,+19.8%,+2.4%,,,+0.1%
Emma Lewell-Buck,LAB,LAB,South Shields,E14001492,North East,,9.0%,52.8%,3.7%,25.0%,7.4%,,,2.1%,LAB,,27.8%,"12,751",,"4,114","24,201","1,709","11,450","3,372",0,963,,LAB HOLD,,25.8%,44.1%,3.6%,14.7%,3.2%,0.0%,0.0%,8.7%,LAB,-17.0%,+9.0%,+0.4%,+9.9%,+4.4%,,,-6.7%
Philip Dunne,CON,CON,South Shropshire,E14001493,West Midlands,,33.7%,23.3%,18.2%,19.1%,5.6%,,,0.1%,CON,,10.4%,"6,007",,"19,425","13,418","10,520","11,046","3,218",0,72,,CON HOLD,,65.4%,15.8%,15.4%,0.0%,3.5%,0.0%,0.0%,0.0%,CON,-32.0%,+7.6%,+3.5%,+18.5%,+2.2%,,,+0.1%
James Cartlidge,CON,CON,South Suffolk,E14001494,East of England,,29.2%,27.7%,10.1%,23.1%,9.8%,,,0.1%,CON,,1.5%,725,,"14,619","13,894","5,047","11,563","4,924",0,58,,CON HOLD,,62.1%,19.2%,12.7%,0.0%,6.1%,0.0%,0.0%,0.0%,CON,-33.3%,+8.3%,-2.2%,+23.0%,+4.0%,,,+0.1%
Gary Streeter,CON,LAB,South West Devon,E14001495,South West,,31.3%,32.5%,10.1%,18.7%,6.8%,,,0.5%,LAB,,1.2%,693,,"17,544","18,237","5,679","10,507","3,814",0,295,,LAB GAIN,,62.6%,21.4%,12.1%,0.0%,3.9%,0.0%,0.0%,0.0%,CON,-31.6%,+11.3%,-1.5%,+18.2%,+3.1%,,,+0.5%
Gagan Mohindra,CON,LAB,South West Hertfordshire,E14001496,East of England,,27.1%,31.0%,16.5%,19.6%,4.9%,,,0.8%,LAB,,3.9%,"1,982",,"13,804","15,786","8,372","9,993","2,491",0,428,,LAB GAIN,,52.2%,16.1%,12.7%,0.0%,1.5%,0.0%,0.0%,17.5%,CON,-25.4%,+15.1%,+4.3%,+19.2%,+3.5%,,,-16.7%
Liz Truss,CON,CON,South West Norfolk,E14001497,East of England,,32.8%,27.8%,6.9%,26.3%,5.2%,,,1.0%,CON,,5.0%,"2,389",,"15,748","13,359","3,318","12,648","2,504",0,487,,CON HOLD,,68.7%,18.3%,8.3%,0.0%,3.0%,0.0%,0.0%,1.7%,CON,-36.7%,+9.9%,-1.1%,+26.1%,+2.2%,,,-0.5%
Andrew Murrison,CON,LAB,South West Wiltshire,E14001498,South West,,28.1%,31.3%,14.3%,19.2%,6.8%,,,0.3%,LAB,,3.2%,"1,523",,"13,262","14,785","6,757","9,051","3,210",0,159,,LAB GAIN,,58.3%,21.5%,16.5%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-30.5%,+10.0%,-1.7%,+18.6%,+3.3%,,,+0.3%
Royston Smith,CON,LAB,Southampton Itchen,E14001499,South East,,20.3%,52.7%,4.0%,17.0%,5.4%,,,0.6%,LAB,,32.4%,"15,391",,"9,610","25,001","1,883","8,049","2,551",0,307,,LAB GAIN,x,50.5%,41.0%,5.3%,0.0%,2.2%,0.0%,0.0%,1.0%,CON,-30.4%,+11.9%,-1.1%,+16.6%,+3.4%,,,-0.3%
Alan Whitehead,LAB,LAB,Southampton Test,E14001500,South East,,10.0%,58.4%,6.5%,16.6%,7.6%,,,1.0%,LAB,,41.8%,"18,819",,"4,486","26,271","2,944","7,452","3,400",0,432,,LAB HOLD,,35.7%,49.5%,7.7%,3.5%,3.2%,0.0%,0.0%,0.5%,LAB,-25.9%,+9.0%,-0.8%,+12.6%,+4.6%,,,+0.5%
James Duddridge,CON,LAB,Southend East and Rochford,E14001501,East of England,,30.2%,42.6%,5.5%,15.6%,4.9%,,,1.3%,LAB,,12.4%,"5,329",,"13,058","18,387","2,355","6,728","2,097",0,553,,LAB GAIN,,59.0%,31.3%,6.4%,0.0%,0.1%,0.0%,0.0%,3.1%,CON,-32.1%,+10.9%,-0.9%,+20.0%,+4.5%,,,-2.4%
David Amess,CON,LAB,Southend West and Leigh,E14001502,East of England,,28.7%,40.5%,7.9%,17.9%,4.0%,,,1.0%,LAB,,11.8%,"6,036",,"14,758","20,794","4,067","9,204","2,061",0,511,,LAB GAIN,,59.1%,29.0%,10.6%,0.0%,0.0%,0.0%,0.0%,1.4%,CON,-31.0%,+11.9%,-2.2%,+17.6%,+4.1%,,,-0.4%
Bambos Charalambous,LAB,LAB,Southgate and Wood Green,E14001503,Greater London,,15.8%,59.9%,5.9%,9.8%,7.8%,,,0.9%,LAB,,44.1%,"23,264",,"8,300","31,564","3,122","5,142","4,108",0,455,,LAB HOLD,,28.6%,57.8%,9.9%,1.3%,2.5%,0.0%,0.0%,0.0%,LAB,-13.0%,+2.1%,-3.8%,+8.3%,+5.5%,,,+0.9%
Damien Moore,CON,LAB,Southport,E14001504,North West,,20.3%,47.2%,8.9%,18.8%,4.4%,,,0.3%,LAB,,26.9%,"13,427",,"10,119","23,546","4,457","9,382","2,188",0,149,,LAB GAIN,,50.4%,36.8%,12.5%,0.0%,0.4%,0.0%,0.0%,0.0%,CON,-30.3%,+10.5%,-3.1%,+18.4%,+4.1%,,,+0.3%
Kwasi Kwarteng,CON,LAB,Spelthorne,E14001505,South East,,26.9%,31.3%,13.8%,20.2%,7.3%,,,0.5%,LAB,,4.4%,"2,165",,"13,337","15,501","6,840","9,982","3,595",0,241,,LAB GAIN,,58.9%,21.7%,15.2%,0.0%,4.3%,0.0%,0.0%,0.0%,CON,-32.3%,+9.9%,-0.8%,+19.6%,+3.1%,,,+0.5%
Unknown (changed seat),CON,LAB,Spen Valley,E14001506,Yorkshire and the Humber,,23.6%,51.5%,5.7%,14.5%,3.6%,,,1.1%,LAB,,27.9%,"13,180",,"11,149","24,329","2,683","6,839","1,695",0,503,,LAB GAIN,,46.4%,33.5%,5.8%,3.5%,1.8%,0.0%,0.0%,9.1%,CON,-23.5%,+18.2%,+0.1%,+11.2%,+2.1%,,,-8.1%
Daisy Cooper,LDM,LDM,St Albans,E14001507,East of England,,11.3%,12.7%,54.8%,13.3%,7.2%,,,0.8%,LDM,,41.5%,"22,961",,"6,228","7,006","30,294","7,333","3,987",0,439,,LDM HOLD,,39.3%,8.8%,49.9%,0.0%,1.7%,0.0%,0.0%,0.3%,LDM,-28.3%,+3.8%,+5.4%,+12.8%,+5.6%,,,+0.5%
Steve Double,CON,LAB,St Austell and Newquay,E14001508,South West,,25.7%,37.5%,8.3%,22.3%,5.5%,,,0.7%,LAB,,11.8%,"6,480",,"14,179","20,659","4,562","12,282","3,023",0,413,,LAB GAIN,,55.6%,26.6%,10.8%,0.0%,3.1%,0.0%,0.0%,3.9%,CON,-30.1%,+11.0%,-2.2%,+21.8%,+2.6%,,,-3.1%
Conor McGinn,LAB,LAB,St Helens North,E14001509,North West,,7.1%,56.7%,5.2%,22.2%,7.9%,,,0.8%,LAB,,34.5%,"16,389",,"3,394","26,966","2,463","10,577","3,769",0,383,,LAB HOLD,,26.6%,52.3%,5.6%,11.4%,4.1%,0.0%,0.0%,0.0%,LAB,-19.6%,+4.5%,-0.1%,+10.4%,+4.1%,,,+0.8%
Marie Rimmer,LAB,LAB,St Helens South and Whiston,E14001510,North West,,5.2%,59.3%,4.7%,20.7%,8.4%,,,1.6%,LAB,,38.6%,"17,524",,"2,356","26,937","2,142","9,413","3,832",0,720,,LAB HOLD,,21.3%,58.1%,5.7%,10.6%,4.3%,0.0%,0.0%,0.0%,LAB,-16.2%,+1.3%,-0.7%,+9.6%,+4.4%,,,+1.6%
Derek Thomas,CON,LDM,St Ives,E14001511,South West,,18.8%,11.5%,44.8%,21.1%,3.0%,,,0.8%,LDM,,23.7%,"12,771",,"10,120","6,213","24,150","11,379","1,620",0,431,,LDM GAIN,x,49.0%,9.1%,39.3%,0.0%,1.8%,0.0%,0.0%,0.8%,CON,-30.6%,+2.3%,+6.4%,+20.7%,+1.3%,,,0.0%
Unknown (new seat),CON,LDM,St Neots and Mid Cambridgeshire,E14001512,East of England,,23.1%,22.5%,33.2%,16.7%,3.7%,,,1.0%,LDM,,10.1%,"5,056",,"11,540","11,238","16,597","8,354","1,836",0,483,,LDM GAIN,,51.3%,18.8%,26.8%,0.0%,1.7%,0.0%,0.0%,1.4%,CON,-28.7%,+3.5%,+7.3%,+16.3%,+2.0%,,,-0.4%
Theo Clarke,CON,LAB,Stafford,E14001513,West Midlands,,26.9%,41.5%,4.9%,19.1%,7.4%,,,0.2%,LAB,,14.6%,"7,455",,"13,809","21,264","2,493","9,799","3,799",0,117,,LAB GAIN,,57.9%,31.2%,6.4%,0.0%,4.5%,0.0%,0.0%,0.0%,CON,-31.3%,+10.5%,-1.3%,+18.7%,+3.1%,,,+0.2%
Karen Bradley,CON,LAB,Staffordshire Moorlands,E14001514,West Midlands,,31.6%,37.1%,5.0%,21.1%,5.1%,,,0.1%,LAB,,5.5%,"2,570",,"14,916","17,485","2,365","9,959","2,403",0,58,,LAB GAIN,,64.1%,26.7%,6.1%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-32.6%,+10.7%,-0.9%,+20.5%,+2.1%,,,+0.1%
Jonathan Reynolds,LAB,LAB,Stalybridge and Hyde,E14001515,North West,,12.6%,55.4%,3.7%,21.7%,6.0%,,,0.7%,LAB,,33.7%,"14,272",,"5,350","23,447","1,574","9,175","2,527",0,282,,LAB HOLD,x,38.0%,44.9%,4.3%,8.5%,3.3%,0.0%,0.0%,1.0%,LAB,-25.5%,+10.6%,-0.3%,+12.7%,+2.8%,,,-0.4%
Stephen McPartland,CON,LAB,Stevenage,E14001516,East of England,,22.8%,47.3%,6.6%,16.8%,6.0%,,,0.5%,LAB,,24.5%,"11,699",,"10,873","22,573","3,158","7,994","2,862",0,251,,LAB GAIN,,53.1%,35.2%,8.7%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-30.6%,+12.2%,-1.7%,+16.4%,+3.1%,,,+0.6%
Navendu Mishra,LAB,LAB,Stockport,E14001517,North West,,7.3%,60.3%,6.9%,17.0%,8.0%,,,0.6%,LAB,,43.3%,"19,894",,"3,336","27,710","3,160","7,816","3,671",0,291,,LAB HOLD,,28.2%,54.3%,8.7%,5.3%,3.6%,0.0%,0.0%,0.0%,LAB,-21.1%,+6.0%,-1.4%,+11.3%,+4.6%,,,+0.6%
Alex Cunningham,LAB,LAB,Stockton North,E14001518,North East,,12.3%,54.8%,3.9%,24.3%,4.3%,,,0.4%,LAB,,30.5%,"13,183",,"5,296","23,650","1,696","10,467","1,861",0,154,,LAB HOLD,x,37.5%,46.7%,4.0%,9.0%,0.0%,0.0%,0.0%,2.8%,LAB,-25.5%,+8.3%,+0.2%,+15.0%,+4.5%,,,-2.4%
Matt Vickers,CON,LAB,Stockton West,E14001519,North East,,27.6%,43.0%,4.0%,21.5%,3.6%,,,0.3%,LAB,,15.4%,"7,989",,"14,373","22,361","2,064","11,188","1,873",0,160,,LAB GAIN,,56.5%,33.9%,4.5%,4.7%,0.5%,0.0%,0.0%,0.0%,CON,-28.6%,+9.1%,-0.3%,+16.3%,+3.2%,,,+0.2%
Jo Gideon,CON,LAB,Stoke-on-Trent Central,E14001520,West Midlands,,18.5%,51.2%,3.5%,21.7%,4.4%,,,0.8%,LAB,,29.5%,"11,972",,"7,520","20,788","1,408","8,816","1,785",0,320,,LAB GAIN,x,47.1%,42.9%,3.8%,4.3%,2.0%,0.0%,0.0%,0.0%,CON,-28.7%,+8.6%,-0.1%,+16.9%,+2.6%,,,+0.8%
Jonathan Gullis,CON,LAB,Stoke-on-Trent North,E14001521,West Midlands,,25.5%,45.5%,3.0%,22.5%,2.9%,,,0.5%,LAB,,20.0%,"8,343",,"10,670","19,013","1,263","9,429","1,225",0,223,,LAB GAIN,,54.1%,34.8%,3.3%,5.6%,1.4%,0.0%,0.0%,0.8%,CON,-28.7%,+10.9%,-0.1%,+16.5%,+1.7%,,,-0.2%
Jack Brereton,CON,LAB,Stoke-on-Trent South,E14001522,West Midlands,,31.7%,40.5%,4.8%,19.4%,3.3%,,,0.3%,LAB,,8.8%,"4,109",,"14,836","18,945","2,249","9,073","1,543",0,140,,LAB GAIN,,62.5%,29.6%,6.2%,0.0%,1.6%,0.0%,0.0%,0.0%,CON,-30.7%,+10.7%,-1.1%,+19.2%,+1.8%,,,+0.3%
Unknown (new seat),CON,CON,"Stone, Great Wyrley and Penkridge",E14001523,West Midlands,,45.1%,36.4%,7.7%,,7.4%,,,3.3%,CON,,8.7%,"4,085",,"21,091","17,006","3,606",0,"3,475",0,"1,555",,CON HOLD,,68.5%,21.6%,6.5%,0.0%,3.4%,0.0%,0.0%,0.0%,CON,-23.8%,+15.0%,+1.4%,0.0%,+4.1%,,,+3.3%
Suzanne Webb,CON,LAB,Stourbridge,E14001524,West Midlands,,31.9%,40.9%,4.8%,18.0%,3.9%,,,0.5%,LAB,,9.0%,"4,145",,"14,778","18,923","2,203","8,352","1,822",0,226,,LAB GAIN,,61.8%,29.1%,5.8%,0.0%,2.0%,0.0%,0.0%,1.3%,CON,-29.9%,+11.8%,-0.8%,+17.5%,+2.2%,,,-0.9%
Unknown (new seat),LAB,LAB,Stratford and Bow,E14001525,Greater London,,7.4%,67.8%,5.4%,7.3%,10.5%,,,1.6%,LAB,,57.3%,"27,136",,"3,512","32,126","2,557","3,474","4,990",0,752,,LAB HOLD,,14.5%,70.4%,9.0%,2.3%,3.7%,0.0%,0.0%,0.0%,LAB,-7.3%,-2.6%,-3.4%,+4.8%,+6.9%,,,+1.5%
Nadhim Zahawi,CON,LDM,Stratford-on-Avon,E14001526,West Midlands,,30.0%,13.5%,32.5%,19.0%,4.7%,,,0.2%,LDM,,2.5%,"1,310",,"16,082","7,252","17,392","10,192","2,520",0,129,,LDM GAIN,,60.2%,11.3%,24.7%,0.0%,3.8%,0.0%,0.0%,0.0%,CON,-30.6%,+2.2%,+8.7%,+18.5%,+1.0%,,,+0.2%
Unknown (new seat),LAB,LAB,Streatham and Croydon North,E14001527,Greater London,,9.4%,61.0%,10.6%,7.2%,10.8%,,,1.0%,LAB,,50.2%,"25,779",,"4,838","31,298","5,453","3,703","5,519",0,521,,LAB HOLD,,18.8%,57.9%,17.6%,1.3%,4.4%,0.0%,0.0%,0.0%,LAB,-9.6%,+3.1%,-6.7%,+5.7%,+6.5%,,,+1.0%
Kate Green,LAB,LAB,Stretford and Urmston,E14001528,North West,,8.5%,64.9%,5.4%,12.4%,6.7%,,,2.1%,LAB,,52.5%,"26,267",,"4,276","32,475","2,688","6,208","3,367",0,"1,062",,LAB HOLD,,27.5%,60.3%,5.9%,3.5%,2.7%,0.0%,0.0%,0.0%,LAB,-19.3%,+4.3%,-0.3%,+8.9%,+4.4%,,,+2.0%
Siobhan Baillie,CON,LAB,Stroud,E14001529,South West,,15.5%,49.4%,5.7%,17.2%,11.8%,,,0.4%,LAB,,32.2%,"19,545",,"9,408","29,990","3,439","10,445","7,160",0,251,,LAB GAIN,x,45.7%,41.6%,2.2%,1.5%,8.0%,0.0%,0.0%,0.9%,CON,-30.5%,+8.0%,+3.7%,+15.3%,+4.0%,,,-0.5%
Therese Coffey,CON,LAB,Suffolk Coastal,E14001530,East of England,,27.2%,31.1%,12.8%,20.7%,7.9%,,,0.4%,LAB,,3.9%,"2,006",,"14,266","16,272","6,681","10,821","4,159",0,191,,LAB GAIN,,56.5%,21.4%,15.1%,0.0%,4.4%,0.0%,0.0%,2.6%,CON,-29.2%,+9.3%,-1.3%,+19.8%,+3.7%,,,-2.3%
Julie Elliott,LAB,LAB,Sunderland Central,E14001531,North East,,12.6%,49.7%,7.2%,23.7%,6.6%,,,0.2%,LAB,,26.0%,"11,311",,"5,458","21,600","3,137","10,288","2,881",0,104,,LAB HOLD,x,35.4%,42.2%,7.0%,11.6%,2.8%,0.0%,0.0%,1.1%,LAB,-23.0%,+7.6%,+0.6%,+11.7%,+4.0%,,,-0.9%
Michael Gove,CON,LDM,Surrey Heath,E14001532,South East,,29.2%,12.3%,35.6%,17.5%,4.7%,,,0.7%,LDM,,6.4%,"3,329",,"15,220","6,403","18,550","9,116","2,461",0,377,,LDM GAIN,,57.9%,9.4%,28.0%,0.0%,3.5%,0.0%,0.0%,1.2%,CON,-29.1%,+2.9%,+8.2%,+17.1%,+1.3%,,,-0.5%
Nus Ghani,CON,CON,Sussex Weald,E14001533,South East,,31.9%,21.6%,17.5%,20.9%,7.7%,,,0.4%,CON,,10.3%,"5,115",,"15,769","10,654","8,627","10,343","3,829",0,180,,CON HOLD,,63.7%,14.9%,16.8%,0.0%,4.6%,0.0%,0.0%,0.0%,CON,-32.2%,+6.2%,+1.3%,+20.5%,+3.8%,,,+0.4%
Paul Scully,CON,CON,Sutton and Cheam,E14001534,Greater London,,34.2%,15.4%,33.7%,12.1%,4.0%,,,0.6%,CON,,0.5%,258,,"17,270","7,775","17,012","6,107","1,995",0,310,,CON HOLD,,50.0%,14.3%,33.4%,0.0%,2.3%,0.0%,0.0%,0.0%,CON,-15.7%,+1.8%,-0.5%,+11.6%,+2.1%,,,+0.7%
Andrew Mitchell,CON,LAB,Sutton Coldfield,E14001535,West Midlands,,32.9%,36.7%,8.6%,15.1%,6.5%,,,0.2%,LAB,,3.8%,"1,992",,"17,214","19,206","4,483","7,928","3,398",0,129,,LAB GAIN,,60.4%,23.6%,12.2%,0.0%,3.9%,0.0%,0.0%,0.0%,CON,-27.7%,+13.4%,-3.3%,+14.7%,+2.6%,,,+0.2%
